File Offset (s)	duration (s)	Begin File	uniqID	Tag1	Tag2
69923.2925	4.088	nn02d_20181115_000000.wav	nn02d_423	1	h
69930.703	5.775	nn02d_20181115_000000.wav	nn02d_424	1	h
69945.4731	3.782	nn02d_20181115_000000.wav	nn02d_425	1	
69954.3146	3.884	nn02d_20181115_000000.wav	nn02d_426	1	
69962.3385	5.315	nn02d_20181115_000000.wav	nn02d_427	1	
70366.7995	5.008	nn02d_20181115_000000.wav	nn02d_428	1	
70602.4184	3.322	nn02d_20181115_000000.wav	nn02d_429	1	
70718.5283	4.548	nn02d_20181115_000000.wav	nn02d_430	1	
74776.1791	4.14	nn02d_20181115_000000.wav	nn02d_431	1	
1732.0746	7.36	nn08c_20180903_000000.wav	nn08c_902	1	
3867.6425	3.986	nn08c_20180903_000000.wav	nn08c_903	1	h
7568.5216	3.629	nn08c_20180903_000000.wav	nn08c_904	1	
7579.3766	2.504	nn08c_20180903_000000.wav	nn08c_905	1	
15311.7551	5.264	nn08c_20180903_000000.wav	nn08c_906	1	
15370.4264	2.811	nn08c_20180903_000000.wav	nn08c_907	1	
75571.267	3.781	nn08c_20180903_000000.wav	nn08c_908	1	
75582.1018	3.629	nn08c_20180903_000000.wav	nn08c_909	1	
78226.0799	3.016	nn08c_20180903_000000.wav	nn08c_910	1	
2056.808	3.155	nn08c_20181201_000000.wav	nn08c_930	1	
2066.9032	3.067	nn08c_20181201_000000.wav	nn08c_931	1	h
2072.6784	6.133	nn08c_20181201_000000.wav	nn08c_932	1	h
2103.7516	4.498	nn08c_20181201_000000.wav	nn08c_933	1	
2113.1552	3.373	nn08c_20181201_000000.wav	nn08c_934	1	
2197.176	3.213	nn08c_20181201_000000.wav	nn08c_935	1	
2268.2121	3.22	nn08c_20181201_000000.wav	nn08c_936	1	h
2278.7401	2.76	nn08c_20181201_000000.wav	nn08c_937	1	
2400.4146	1.943	nn08c_20181201_000000.wav	nn08c_938	1	
4100.7039	2.913	nn08c_20181201_000000.wav	nn08c_939	1	
4759.023	6.797	nn08c_20181201_000000.wav	nn08c_940	1	h
4765.8714	2.964	nn08c_20181201_000000.wav	nn08c_941	1	h
4802.924	2.3	nn08c_20181201_000000.wav	nn08c_942	1	
4972.3359	3.066	nn08c_20181201_000000.wav	nn08c_943	1	h
5344.94	6.082	nn08c_20181201_000000.wav	nn08c_944	1	h
11026.4945	4.344	nn08c_20181201_000000.wav	nn08c_945	1	h
11028.9891	3.383	nn08c_20181201_000000.wav	nn08c_946	1	h
11032.5251	1.175	nn08c_20181201_000000.wav	nn08c_947	1	h
11033.854	2.504	nn08c_20181201_000000.wav	nn08c_948	1	h
11035.6939	1.891	nn08c_20181201_000000.wav	nn08c_949	1	
11039.0158	3.322	nn08c_20181201_000000.wav	nn08c_950	1	h
11046.733	4.14	nn08c_20181201_000000.wav	nn08c_951	1	h
11060.583	4.293	nn08c_20181201_000000.wav	nn08c_952	1	h
11068.3514	3.271	nn08c_20181201_000000.wav	nn08c_953	1	h
11075.353	3.68	nn08c_20181201_000000.wav	nn08c_954	1	h
40709.7311	3.935	nn08c_20181201_000000.wav	nn08c_955	1	
65949.8821	5.673	nn08c_20181201_000000.wav	nn08c_956	1	
67190.9202	5.775	nn08c_20181201_000000.wav	nn08c_957	1	
68228.4996	4.447	nn08c_20181201_000000.wav	nn08c_958	1	
68283.0312	5.009	nn08c_20181201_000000.wav	nn08c_959	1	
68368.4315	5.213	nn08c_20181201_000000.wav	nn08c_960	1	
69726.6496	3.271	nn08c_20181201_000000.wav	nn08c_961	1	
70083.9895	4.804	nn08c_20181201_000000.wav	nn08c_962	1	
70084.9921	3.919	nn08c_20181201_000000.wav	nn08c_963	1	
70170.1024	3.424	nn08c_20181201_000000.wav	nn08c_964	1	
70302.209	3.68	nn08c_20181201_000000.wav	nn08c_965	1	
70307.7796	2.505	nn08c_20181201_000000.wav	nn08c_966	1	
70463.5549	2.811	nn08c_20181201_000000.wav	nn08c_967	1	h
70468.9211	6.593	nn08c_20181201_000000.wav	nn08c_968	1	
70530.295	6.95	nn08c_20181201_000000.wav	nn08c_969	1	
70664.7014	5.009	nn08c_20181201_000000.wav	nn08c_970	1	
70722.7052	3.067	nn08c_20181201_000000.wav	nn08c_971	1	
70881.234	7.973	nn08c_20181201_000000.wav	nn08c_972	1	h
74895.0163	3.271	nn08c_20181201_000000.wav	nn08c_973	1	
74954.7095	1.794	nn08c_20181201_000000.wav	nn08c_974	1	h
74955.7318	3.066	nn08c_20181201_000000.wav	nn08c_975	1	h
74960.0758	3.015	nn08c_20181201_000000.wav	nn08c_976	1	h
77432.0744	7.564	nn08c_20181201_000000.wav	nn08c_977	1	h
79649.8616	7.155	nn08c_20181201_000000.wav	nn08c_978	1	h
79653.5036	3.355	nn08c_20181201_000000.wav	nn08c_979	1	h
79653.7969	6.95	nn08c_20181201_000000.wav	nn08c_980	1	h
79666.7241	6.746	nn08c_20181201_000000.wav	nn08c_981	1	h
79674.0836	2.709	nn08c_20181201_000000.wav	nn08c_982	1	h
79693.8621	5.877	nn08c_20181201_000000.wav	nn08c_983	1	
80149.4724	3.936	nn08c_20181201_000000.wav	nn08c_984	1	
80154.4297	8.432	nn08c_20181201_000000.wav	nn08c_985	1	
82868.7348	8.995	nn08c_20181201_000000.wav	nn08c_986	1	
2369.5894	4.899	nn01d_20190216_000000.wav	_1181	1	
30870.2401	4.229	nn01d_20190216_000000.wav	nn01d_192	1	h
30873.1854	5.059	nn01d_20190216_000000.wav	nn01d_193	1	h
30908.1508	4.833	nn01d_20190216_000000.wav	nn01d_194	1	h
30909.6611	4.078	nn01d_20190216_000000.wav	nn01d_195	1	h
30910.3785	5.324	nn01d_20190216_000000.wav	nn01d_196	1	
30915.9291	4.682	nn01d_20190216_000000.wav	nn01d_197	1	h
30919.5121	3.55	nn01d_20190216_000000.wav	nn01d_198	1	
30925.4794	4.493	nn01d_20190216_000000.wav	nn01d_199	1	
30937.8268	2.53	nn01d_20190216_000000.wav	nn01d_200	1	
30945.3787	3.814	nn01d_20190216_000000.wav	nn01d_201	1	
30951.2691	4.192	nn01d_20190216_000000.wav	nn01d_202	1	h
32414.6384	5.588	nn01d_20190216_000000.wav	nn01d_203	1	h
33256.1968	4.607	nn01d_20190216_000000.wav	nn01d_204	1	
33259.142	5.135	nn01d_20190216_000000.wav	nn01d_205	1	
33373.4374	1.85	nn01d_20190216_000000.wav	nn01d_206	1	
33763.907	5.551	nn01d_20190216_000000.wav	nn01d_207	1	h
33773.007	4.342	nn01d_20190216_000000.wav	nn01d_208	1	
33788.4884	4.871	nn01d_20190216_000000.wav	nn01d_209	1	
48246.9635	4.455	nn01d_20190216_000000.wav	nn01d_210	1	
48324.9299	5.135	nn01d_20190216_000000.wav	nn01d_211	1	
48392.7035	6.343	nn01d_20190216_000000.wav	nn01d_212	1	h
48449.9094	4.417	nn01d_20190216_000000.wav	nn01d_213	1	
48461.4261	4.154	nn01d_20190216_000000.wav	nn01d_214	1	
48529.0535	5.21	nn01d_20190216_000000.wav	nn01d_215	1	
48558.2039	2.87	nn01d_20190216_000000.wav	nn01d_216	1	
48585.0857	2.87	nn01d_20190216_000000.wav	nn01d_217	1	
48614.9535	3.927	nn01d_20190216_000000.wav	nn01d_218	1	h
48739.0634	6.343	nn01d_20190216_000000.wav	nn01d_219	1	h
48757.6381	3.587	nn01d_20190216_000000.wav	nn01d_220	1	
48762.5091	5.438	nn01d_20190216_000000.wav	nn01d_221	1	h
48941.3674	4.568	nn01d_20190216_000000.wav	nn01d_222	1	h
48957.3396	2.379	nn01d_20190216_000000.wav	nn01d_223	1	
49079.2216	6.003	nn01d_20190216_000000.wav	nn01d_224	1	h
49190.833	3.096	nn01d_20190216_000000.wav	nn01d_225	1	
49193.9293	4.985	nn01d_20190216_000000.wav	nn01d_226	1	h
2572.0882	5.664	nn01d_20180414_000000.wav	nn01d_130	1	
2649.2689	4.002	nn01d_20180414_000000.wav	nn01d_131	1	h
2784.9361	2.983	nn01d_20180414_000000.wav	nn01d_132	1	
2946.5383	4.153	nn01d_20180414_000000.wav	nn01d_133	1	h
3720.3821	5.701	nn01d_20180414_000000.wav	nn01d_134	1	
3826.0664	3.134	nn01d_20180414_000000.wav	nn01d_135	1	
4119.9383	4.078	nn01d_20180414_000000.wav	nn01d_136	1	h
9378.588	4.455	nn01d_20180414_000000.wav	nn01d_137	1	
9545.4009	5.588	nn01d_20180414_000000.wav	nn01d_138	1	
9608.8718	6.684	nn01d_20180414_000000.wav	nn01d_139	1	
9934.2934	2.681	nn01d_20180414_000000.wav	nn01d_140	1	
9993.7995	6.042	nn01d_20180414_000000.wav	nn01d_141	1	
22031.4095	4.191	nn01d_20180414_000000.wav	nn01d_142	1	
22394.662	4.339	nn01d_20180414_000000.wav	_1178	1	
22919.7971	4.644	nn01d_20180414_000000.wav	nn01d_143	1	
65368.3043	7.627	nn01d_20180414_000000.wav	nn01d_144	1	
65927.2575	4.078	nn01d_20180414_000000.wav	nn01d_145	1	
68027.7801	4.531	nn01d_20180414_000000.wav	nn01d_146	1	h
68035.7474	5.777	nn01d_20180414_000000.wav	nn01d_147	1	h
68051.7952	5.211	nn01d_20180414_000000.wav	nn01d_148	1	
68415.3044	7.665	nn01d_20180414_000000.wav	nn01d_149	1	h
69135.6423	5.815	nn01d_20180414_000000.wav	nn01d_150	1	
69841.2161	7.514	nn01d_20180414_000000.wav	nn01d_151	1	h
69851.0712	4.304	nn01d_20180414_000000.wav	nn01d_152	1	
73890.9633	4.758	nn01d_20180414_000000.wav	nn01d_153	1	
74358.3807	6.004	nn01d_20180414_000000.wav	nn01d_154	1	
2852.6143	3.271	nn08c_20190119_000000.wav	nn08c_987	1	h
3281.3514	6.287	nn08c_20190119_000000.wav	nn08c_988	1	
21905.8342	4.82	nn08c_20190119_000000.wav	nn08c_1195	1	
22234.3899	5.213	nn08c_20190119_000000.wav	nn08c_989	1	
75486.9358	3.782	nn08c_20190119_000000.wav	nn08c_990	1	
75496.2373	3.322	nn08c_20190119_000000.wav	nn08c_991	1	
82464.1481	5.877	nn08c_20190119_000000.wav	nn08c_992	1	
82476.1862	4.191	nn08c_20190119_000000.wav	nn08c_993	1	
82545.4369	3.22	nn08c_20190119_000000.wav	nn08c_994	1	
82549.6788	5.213	nn08c_20190119_000000.wav	nn08c_995	1	
82563.9376	6.848	nn08c_20190119_000000.wav	nn08c_996	1	
85000.985	5.111	nn08c_20190119_000000.wav	nn08c_997	1	
3343.6345	5.524	nn02d_20180916_000000.wav	nn02d_336	1	
3607.2108	4.419	nn02d_20180916_000000.wav	nn02d_337	1	
3650.2948	5.731	nn02d_20180916_000000.wav	nn02d_338	1	
3813.9311	5.696	nn02d_20180916_000000.wav	nn02d_339	1	
18405.5289	7.595	nn02d_20180916_000000.wav	nn02d_340	1	
18549.2775	5.317	nn02d_20180916_000000.wav	nn02d_341	1	
20997.4895	3.694	nn02d_20180916_000000.wav	nn02d_342	1	
21714.685	5.455	nn02d_20180916_000000.wav	nn02d_343	1	
24652.4395	3.28	nn02d_20180916_000000.wav	nn02d_344	1	h
25611.8165	3.211	nn02d_20180916_000000.wav	nn02d_345	1	h
56611.962	5.247	nn02d_20180916_000000.wav	nn02d_346	1	
57432.6276	4.971	nn02d_20180916_000000.wav	nn02d_347	1	
58414.4096	3.901	nn02d_20180916_000000.wav	nn02d_348	1	
58456.2164	3.901	nn02d_20180916_000000.wav	nn02d_349	1	
58470.1634	4.109	nn02d_20180916_000000.wav	nn02d_350	1	
58471.9586	3.038	nn02d_20180916_000000.wav	nn02d_351	1	
58475.8596	5.143	nn02d_20180916_000000.wav	nn02d_352	1	
58538.9636	4.164	nn02d_20180916_000000.wav	nn02d_353	1	
58542.0079	3.664	nn02d_20180916_000000.wav	nn02d_354	1	
58547.8107	3.685	nn02d_20180916_000000.wav	_1185	1	
58681.4423	4.644	nn02d_20180916_000000.wav	nn02d_355	1	
58743.806	3.97	nn02d_20180916_000000.wav	nn02d_356	1	
58797.3156	4.695	nn02d_20180916_000000.wav	nn02d_357	1	
58875.5782	2.762	nn02d_20180916_000000.wav	nn02d_358	1	
59150.6157	3.59	nn02d_20180916_000000.wav	nn02d_359	1	
59420.7167	2.382	nn02d_20180916_000000.wav	nn02d_360	1	
62271.5434	3.522	nn02d_20180916_000000.wav	nn02d_361	1	
62476.1208	4.142	nn02d_20180916_000000.wav	nn02d_362	1	
35271.9596	2.908	nn01c_20180715_000000.wav	nn01c_99	1	
35274.3008	2.983	nn01c_20180715_000000.wav	nn01c_100	1	
35282.1706	2.85	nn01c_20180715_000000.wav	nn01c_101	1	
35298.5426	3.134	nn01c_20180715_000000.wav	nn01c_102	1	
35502.1422	4.04	nn01c_20180715_000000.wav	nn01c_103	1	
35508.1082	2.605	nn01c_20180715_000000.wav	nn01c_104	1	
35656.2015	1.662	nn01c_20180715_000000.wav	nn01c_105	1	
35689.4299	2.529	nn01c_20180715_000000.wav	nn01c_106	1	
35695.4336	2.417	nn01c_20180715_000000.wav	nn01c_107	1	
35700.9088	2.153	nn01c_20180715_000000.wav	nn01c_108	1	
35702.0307	2.228	nn01c_20180715_000000.wav	nn01c_109	1	
35760.5204	3.436	nn01c_20180715_000000.wav	nn01c_110	1	
35766.3354	1.435	nn01c_20180715_000000.wav	nn01c_111	1	
36168.8	3.511	nn01c_20180715_000000.wav	nn01c_112	1	h
36170.0084	6.948	nn01c_20180715_000000.wav	nn01c_113	1	h
36173.4823	2.756	nn01c_20180715_000000.wav	nn01c_114	1	
36179.1461	4.833	nn01c_20180715_000000.wav	nn01c_115	1	
36184.508	2.416	nn01c_20180715_000000.wav	nn01c_116	1	h
36194.7951	4.644	nn01c_20180715_000000.wav	nn01c_117	1	
36274.918	3.322	nn01c_20180715_000000.wav	nn01c_118	1	
36366.1045	3.701	nn01c_20180715_000000.wav	nn01c_119	1	
37521.8551	6.306	nn01c_20180715_000000.wav	nn01c_120	1	
63142.3749	9.1	nn01c_20180715_000000.wav	nn01c_121	1	
63159.5713	2.341	nn01c_20180715_000000.wav	nn01c_122	1	
32587.9205	3.628	nn08c_20180716_000000.wav	nn08c_868	1	
32629.522	6.593	nn08c_20180716_000000.wav	nn08c_869	1	
32633.4036	2.901	nn08c_20180716_000000.wav	nn08c_870	1	
32719.4198	5.52	nn08c_20180716_000000.wav	nn08c_871	1	
33074.5465	3.628	nn08c_20180716_000000.wav	nn08c_872	1	
33400.821	2.658	nn08c_20180716_000000.wav	nn08c_873	1	
33458.6204	1.788	nn08c_20180716_000000.wav	nn08c_874	1	
35797.749	5.315	nn08c_20180716_000000.wav	nn08c_875	1	
36410.4726	4.293	nn08c_20180716_000000.wav	nn08c_876	1	
46315.8869	5.264	nn08c_20180716_000000.wav	nn08c_877	1	
71468.2506	7.615	nn08c_20180716_000000.wav	nn08c_878	1	
74757.8237	3.373	nn08c_20180716_000000.wav	nn08c_879	1	
74764.2633	3.066	nn08c_20180716_000000.wav	nn08c_880	1	
77028.7209	5.622	nn08c_20180716_000000.wav	nn08c_881	1	
77039.0446	6.337	nn08c_20180716_000000.wav	nn08c_882	1	
78182.1066	6.337	nn08c_20180716_000000.wav	nn08c_883	1	h
79832.464	5.673	nn08c_20180716_000000.wav	nn08c_884	1	h
79842.3788	4.957	nn08c_20180716_000000.wav	nn08c_885	1	h
79843.3666	2.443	nn08c_20180716_000000.wav	nn08c_886	1	
79858.9375	2.708	nn08c_20180716_000000.wav	nn08c_887	1	
80431.9987	5.877	nn08c_20180716_000000.wav	nn08c_888	1	h
82094.3119	3.782	nn08c_20180716_000000.wav	nn08c_889	1	
82881.2994	6.337	nn08c_20180716_000000.wav	nn08c_890	1	
34668.2909	3.583	nn02d_20190216_000000.wav	nn02d_455	1	
34677.8686	3.646	nn02d_20190216_000000.wav	nn02d_456	1	
34730.7008	5.685	nn02d_20190216_000000.wav	nn02d_457	1	h
34894.6319	5.87	nn02d_20190216_000000.wav	nn02d_458	1	
34978.1718	3.708	nn02d_20190216_000000.wav	nn02d_459	1	
35066.3519	3.151	nn02d_20190216_000000.wav	nn02d_460	1	
35203.2154	3.275	nn02d_20190216_000000.wav	nn02d_461	1	
35358.1868	2.596	nn02d_20190216_000000.wav	nn02d_462	1	
35420.3496	4.449	nn02d_20190216_000000.wav	nn02d_463	1	
35446.9201	2.904	nn02d_20190216_000000.wav	nn02d_464	1	
