Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)		Begin Path	File Offset (s)	Begin File	Site	hour	fileDate	date(raven)	Tag 1	Tag 2	notes	Analyst	Begin Path (old)
25	Spectrogram 1	1	6404266.314	6404271.959	25.4	43.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15056.415	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
26	Spectrogram 1	1	6404363.83	6404368.376	23.333	37.207		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15153.9305	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
27	Spectrogram 1	1	6404376.751	6404380.777	20.9	43.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15166.852	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
28	Spectrogram 1	1	6404489.666	6404496.87	23.9	47.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15279.767	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
29	Spectrogram 1	1	6404499.157	6404504.242	22.4	53.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15289.258	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
30	Spectrogram 1	1	6404517.861	6404522.776	16.4	50.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15307.962	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
31	Spectrogram 1	1	6404526.378	6404530.234	17.9	40.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15316.479	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
32	Spectrogram 1	1	6404539.344	6404545.488	22.4	44.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15329.445	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
33	Spectrogram 1	1	6404549.725	6404554.937	20.9	46.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15339.826	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
34	Spectrogram 1	1	6404564.7	6404572.582	19.4	49.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15354.801	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
35	Spectrogram 1	1	6404629.039	6404631.666	20.9	44.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15419.14	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
36	Spectrogram 1	1	6404634.59	6404637.344	22.4	46.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15424.691	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
37	Spectrogram 1	1	6404684.564	6404687.107	17.9	44.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15474.665	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
38	Spectrogram 1	1	6404690.412	6404693.039	19.4	40.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15480.513	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
39	Spectrogram 1	1	6404726.907	6404730.213	22.703	42.252		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15517.008	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
40	Spectrogram 1	1	6404732.505	6404736.022	17.9	43.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15522.606	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
41	Spectrogram 1	1	6404738.903	6404742.547	17.9	46.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15529.004	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
42	Spectrogram 1	1	6404757.726	6404760.732	24.595	37.838		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15547.8271	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
43	Spectrogram 1	1	6404774.571	6404777.398	23.8	46.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15564.672	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
44	Spectrogram 1	1	6404798.885	6404802.184	17.5	37.5		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15588.986	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
45	Spectrogram 1	1	6404811.886	6404814.895	23.9	43.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15601.987	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
46	Spectrogram 1	1	6404821.532	6404824.876	23.333	37.207		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15611.6329	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
47	Spectrogram 1	1	6404843.147	6404848.645	20	38.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15633.248	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
48	Spectrogram 1	1	6404873.461	6404876.406	23.8	40		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15663.562	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
49	Spectrogram 1	1	6404879.626	6404884.77	20	41.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15669.727	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
50	Spectrogram 1	1	6405010.471	6405014.073	17.9	46.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15800.572	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
51	Spectrogram 1	1	6405047.166	6405053.141	20.9	53.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15837.267	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
52	Spectrogram 1	1	6405071.844	6405076.082	17.9	43.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15861.945	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
53	Spectrogram 1	1	6405115.463	6405120.59	17.9	41.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15905.564	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
54	Spectrogram 1	1	6405133.386	6405135.674	19.4	43.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15923.487	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
55	Spectrogram 1	1	6405153.344	6405155.759	17.9	46.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15943.445	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
56	Spectrogram 1	1	6405161.2	6405164.336	16.4	41.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	15951.301	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
57	Spectrogram 1	1	6405336.039	6405338.624	19.4	44.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16126.14	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
58	Spectrogram 1	1	6405517.964	6405520.274	22.703	37.838		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16308.0642	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
59	Spectrogram 1	1	6405539.571	6405544.323	18.8	43.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16329.672	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
60	Spectrogram 1	1	6405682.327	6405684.954	16.4	46.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16472.428	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
61	Spectrogram 1	1	6405705.454	6405709.218	25.225	35.946		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16495.555	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
62	Spectrogram 1	1	6405821.579	6405824.075	23.964	36.577		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16611.6793	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
63	Spectrogram 1	1	6405831.454	6405834.659	25.856	34.685		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16621.555	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
64	Spectrogram 1	1	6405930.436	6405932.075	23.333	37.838		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16720.5364	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
65	Spectrogram 1	1	6405940.42	6405943.471	17.9	47.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16730.521	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
66	Spectrogram 1	1	6405955.929	6405959.785	19.4	53.7		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16746.03	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
67	Spectrogram 1	1	6406014.287	6406016.858	22.703	36.577		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16804.3872	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
68	Spectrogram 1	1	6406139.467	6406143.715	23.333	40.36		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	16929.5675	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
69	Spectrogram 1	1	6406213.964	6406217.429	22.072	37.207		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	17004.0644	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18			marginal	edr	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
70	Spectrogram 1	1	6406459.299	6406464.757	18.8	43.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	17249.4	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
71	Spectrogram 1	1	6406975.191	6406978.03	19.4	47.8		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180818_000000.wav	17765.292	nn04e_20180818_000000.wav	nn04e	4	18-Aug-18	18-Aug-18				elt	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180818_000000.wav
72	Spectrogram 1	1	6518671.972	6518675.215	19.8	43.2		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	43120.956	nn04e_20180911_000000.wav	nn04e	11	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
73	Spectrogram 1	1	6518675.438	6518678.345	16.4	34.3		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	43124.422	nn04e_20180911_000000.wav	nn04e	11	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
74	Spectrogram 1	1	6518684.382	6518687.885	23.1	42.1		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	43133.366	nn04e_20180911_000000.wav	nn04e	11	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
75	Spectrogram 1	1	6518831.699	6518835.575	22	40.9		L:\ELP\Projects\Nouabale\nn_sounds\nn04e\nn04e_20180911_000000.wav	43280.683	nn04e_20180911_000000.wav	nn04e	12	11-Sep-18	11-Sep-18				edk	L:\ELP\Projects\Nouabale\nn_sounds\nn_201804_apr\nn04e_201804_apr\nn04e_20180911_000000.wav
